EV_GFP,EV_CY3,EV_CY5,coloc_EV_GFP_with_EV_CY3,coloc_EV_GFP_with_EV_CY5,coloc_EV_CY3_with_EV_CY5,coloc_COLOC_ALL_with_COLOC_ALL,GFPintensity,CY3intensity,CY5intensity,Actual
0,1,0.5,0,0,0.5,0,0,22635.38098,7613.520053,MCF 10A
0.041666667,0.916666667,0.166666667,0.041666667,0,0.083333333,0,14761.57,22901.17533,6121.974065,MCF 10A
0.538461538,0.897435897,0.051282051,0.461538462,0.025641026,0.025641026,0.025641026,16684.63,25244.79756,8350.670186,MCF 10A
0.419354839,0.870967742,0.064516129,0.322580645,0.032258065,0.032258065,0.032258065,16832.3,24957.53413,5865.891577,MCF 10A
0.75862069,0.827586207,0.086206897,0.586206897,0.051724138,0.086206897,0.051724138,16283.69,24754.96808,7231.083812,MCF 10A
0.764705882,0.852941176,0.029411765,0.617647059,0.029411765,0.029411765,0.029411765,16374.3,25738.60066,7234.16129,MCF 10A
0.958333333,0.708333333,0.145833333,0.708333333,0.104166667,0.104166667,0.104166667,17322.23,26089.75699,7785.891745,MCF 10A
0.586206897,0.793103448,0.068965517,0.413793103,0.034482759,0.034482759,0.034482759,17629.51,25141.70183,9853.62323,MCF 10A
0.545454545,0.818181818,0.181818182,0.363636364,0.181818182,0.181818182,0.181818182,15606.35,25237.89232,9658.636889,MCF 10A
0,1,0,0,0,0,0,0,23758.64742,0,MCF 10A
0.923076923,0.384615385,0.115384615,0.346153846,0.076923077,0.076923077,0.076923077,18183.84,22320.72982,6635.45182,MCF 10A
0.133333333,0.933333333,0.133333333,0.133333333,0,0.066666667,0,12248.63,21316.01142,6845.028446,MCF 10A
1,0.489361702,0,0.489361702,0,0,0,17744.2,25477.25612,0,MCF 10A
0.9625,0.5875,0.05,0.5375,0.05,0.05,0.0375,16791.91,23463.80558,8804.726346,MCF 10A
0.975609756,0.707317073,0.097560976,0.707317073,0.073170732,0.073170732,0.073170732,17616.67,24862.21858,7921.118642,MCF 10A
0.88372093,0.790697674,0.046511628,0.674418605,0.046511628,0.046511628,0.046511628,16992.79,23935.29697,10514.79403,MCF 10A
0.939393939,0.484848485,0.045454545,0.454545455,0.015151515,0.015151515,0.015151515,16264.67,22456.66844,5802.419683,MCF 10A
0.692307692,0.692307692,0.230769231,0.461538462,0.153846154,0.153846154,0.153846154,13501.54,22163.71722,8218.646268,MCF 10A
0.9,0.566666667,0.066666667,0.5,0.033333333,0.033333333,0.033333333,13912.56,20516.98837,4635.041419,MCF 10A
0.96969697,0.515151515,0.121212121,0.484848485,0.121212121,0.121212121,0.121212121,17162.72,24505.51307,8876.650991,MCF 10A
0.861386139,0.95049505,0.495049505,0.811881188,0.465346535,0.495049505,0.465346535,16333.01,23617.27284,5581.449864,MCF 7
1,0.943089431,0.12195122,0.943089431,0.12195122,0.12195122,0.12195122,17808.38,24226.44177,5443.441445,MCF 7
0.980769231,0.942307692,0.567307692,0.932692308,0.557692308,0.557692308,0.557692308,17750.93,24691.04386,5675.835345,MCF 7
0.983471074,0.983471074,0.67768595,0.966942149,0.661157025,0.67768595,0.661157025,17781.89,25106.24158,5881.745238,MCF 7
0.984848485,0.901515152,0.310606061,0.886363636,0.310606061,0.310606061,0.310606061,17395.36,24092.82098,5646.779874,MCF 7
1,0.835051546,0.103092784,0.835051546,0.103092784,0.103092784,0.103092784,17524.18,23799.32982,5059.940362,MCF 7
